Day,Fifth,Third
1,750,340
2,710,540
3,700,210
4,720,530
5,690,550
6,670,350
7,660,590
8,640,520
9,670,360
10,620,420
11,580,160
12,590,470
13,610,380
14,570,370
15,570,720
16,560,670
17,500,460
18,480,320
19,550,370
20,510,570
21,520,120
22,460,190
23,470,710
24,440,620
25,400,180
26,410,640
27,390,270
28,420,670
29,380,660
30,370,240
31,370,500
32,360,480
33,350,560
34,330,310
35,280,390
36,300,610
37,310,690
38,290,410
39,270,400
40,250,130
41,210,440
42,240,130
43,190,250
44,160,330
45,130,300
46,120,110
47,180,740
48,150,700
49,110,150
50,100,580
